installer,new_installer
0,
-,
A.D.B,ADP
AAR,Aartisa
Aartisa,Aartisa
ABASIA,Aartisa
ABD,ABDALA
ABDALA,ABDALA
Abdallah Ally Wazir,ABDALA
ABDUL,
AC,
Accra,
ACORD,
ACRA,
ACT,ACT
ACT MARA,ACT
ACTION AID,
Action Contre La Faim,
Active KMK,Active KMK
Active MKM,Active KMK
ACTIVE TANK CO,ACTIVE TANK CO
ACTIVE TANK CO LTD,ACTIVE TANK CO
AD,
Adam,Adam Kea
Adam Kea,Adam Kea
Adam mualuaka,
ADAP,ADP
ADB,ADP
ADP,ADP
ADP Busangi,ADP
Adra,Adra
Adra /Community,Adra
ADRA /Government,Adra
Adra/ Community,Adra
Adra/Community,Adra
ADRA/Government,Adra
Adrs,Adra
AF,
Africa,
Africa Amini Alama,
Africa Islamic Agency Tanzania,
Africa M,
AFRICA MUSLIM,AFRICA MUSLIM
Africa Muslim Agenc,AFRICA MUSLIM
AFRICAN DEVELOPMENT FOUNDATION,
African Muslims Age,AFRICA MUSLIM
African Realief Committe of Ku,
AFRICAN REFLECTIONS FOUNDATION,
Africaone,Africaone
Africaone Ltd,Africaone
Africare,
Afroz Ismail,
AGRICAN,
Ahmad,
AI,AIC
AIC,AIC
AIC KI,AIC
AICT,AIC
AIMGOLD,
AIXOS,
Al Ha,
Alex moyela,
ALIA,
ALLYS,
Altai Co. ltd,
Amadi,Amadi
Amari,Amadi
Amboni Plantation,
Ambrose,
ambwene mwaikeke,
Amec,
American,
AMP Contract,AMP Contract
AMP contractor,AMP Contract
AMP Contracts,AMP Contract
Amref,
Angli,
Anglica Church,Anglican
Anglican,Anglican
Anglican Church,Anglican
Anglican Uganda,Anglican
Anglikan,Anglican
Anglikana,Anglican
ANGLIKANA CHURCH,Anglican
ANGRIKANA,Anglican
Ansnani Murij,
ANSWAR,
APM,
AQAL,
AQUA BLUES ANGELS,
AQUA Wat,AQUA WEL
AQUA WEL,AQUA WEL
Aqual,
AQUARMAN DRILLERS,
Aqwaman Drilling,
Ar,
Arab community,Arab community
Arabs Community,Arab community
Ardhi and PET Companies,
Ardhi Instute,Ardhi Water Wells
Ardhi water well,Ardhi Water Wells
Ardhi Water Wells,Ardhi Water Wells
Arisan,Artisan
Arrian,Artisan
Artisan,Artisan
ASDP,
Athumani  Janguo,
Athumani Issa,
ATIGH BUILDINGS,
Atisan,
Atlas,Atlas
Atlas Company,Atlas
AUSTRALIA,
AUWASA,
B.A.P,
Baadela,
BABTEST,
Babu Sajin,Babu Sajini
Babu Sajini,Babu Sajini
Bahresa,
BALYEH,
Bao,
BAPTIST CHURCH,BAPTIST CHURCH
BAPTIST CHURCH OF TANZANIA,BAPTIST CHURCH
Baric,
Barry A. Murphy,
BATIST CHURCH,BAPTIST CHURCH
Belgiam Government,Belgiam Government
Belgij,Belgiam Government
BEMANDA,
BENGUKA,
Benjamin,
BESADA,BESADA
BESADO,BESADA
BFFS,
BGM,
BGSS,
Bhoke Mwita,
BILILA,
Billy Phillips,
Bingo foundation,Bingo foundation
Bingo foundation Germany,Bingo foundation
Biore,
Birage,
BKHWS,
BOAZI,
Bobby,
Bokera W,
BOMA SAVING,
Boni,Boni
Bonite Bottles Ltd,Boni
BR,BRA
BRA,BRA
Brad,
Bridge north,
Britain,Britain
British,Britain
British colonial government,Britain
British government,Britain
brown,
BRUDER,
BSF,
Buguba,
Building works Company Ltd,Building works Company Ltd
Building works engineering Ltd,Building works Company Ltd
BUKUMB,
Bulyahunlu Gold Mine,
BUMABU,
Buruba,
Busoga trust,
C,
Caltas,
CALTAZ KAHAMA,
Caltus,
Calvary connection,
Camartec,
Canada na Tanzania,
Canop,
CAP,
CARE,Care  international
Care  international,Care  international
Care international,Care  international
CARE/CIPRO,Care  international
CARITAS,CARTAS
Carmatech,
CARTAS,CARTAS
CARTAS Tanzania,CARTAS
Cast,
Cathoric,
CBHCC,
CCEC,
CCP,
CCPK,
CCPS,
CCT,
CDT,
CDTF,
Ce,
Cebtral Government,Central government
CEFA,
CEFA/rc church,
Cental Government,Central government
Centr,Central government
Centra Government,Central government
Centra govt,Central government
Central basin,
Central government,Central government
Central govt,Central government
CES,
Cetral government /RC,
CF Builders,
CG,
CG/RC,
CGI,
Ch,
chacha,
Chacha Issame,
Chama cha Ushirika,
Chamavita,
CHANDE CO,
CHANI,
Charlotte Well,
CHELA,
CHENI,
Chiko,
China,China
CHINA Co.,China
CHINA HENAN CONSTUCTION,CHINA HENAN CONSTUCTION
CHINA HENAN CONTRACTOR,CHINA HENAN CONSTUCTION
Chinese,China
CHONJA CHARLES,
CHRISTAN OUTRICH,CHRISTIAN OUTRICH
CHRISTIAN OUTRICH,CHRISTIAN OUTRICH
Christina Magoge,
Christopher,
Chuo,Church
Chur,Church
CHURC,Church
Church,Church
Church Of Disciples,Church
Cida,
CIP,
CIPRO,Care  international
CIPRO/CARE,Care  international
CIPRO/CARE/TCRS,Care  international
CIPRO/Government,Care  international
CITIZEN ENGINE,
CJEJ0,CJEJOW
CJEJOW,CJEJOW
CJEJOW CONSTRUCTION,CJEJOW
Clause workers,
Claver,
CMSR,
Co,
COBASHEC,
COCANE,
COCU,
COEK,
COEW,
College,
Colonial Government,Britain
Commu,COMMUNITY BANK
Communit,COMMUNITY BANK
Community,COMMUNITY BANK
COMMUNITY BANK,COMMUNITY BANK
Compa,Company
Company,Company
COMPASION INTERNATIO,
Comunity,COMMUNITY BANK
Conce,CONCERN
Concen,CONCERN
CONCERN,CONCERN
Concern /government,CONCERN
Concern/Government,CONCERN
CONS,
Consultant,Consuting Engineer
Consultant and DWE,Consuting Engineer
Consultant Engineer,Consuting Engineer
Consulting Engineer,Consuting Engineer
Consuting Engineer,Consuting Engineer
Conta,
Contr,
Cosmo,
COSMOS ENG LTD,
Cosmos Engineering,
COUN,Council
Counc,Council
Council,Council
COW,
COWI,
COYI,
CPRO,
CRAELIUS,
Crety,
CRISTAN OUTRICH,CHRISTIAN OUTRICH
CRS,
CSPD,
Cultus,
CVS Miss,
D,
D$L,
DA,DASIP
DADIS,DASIP
DADP,DASIP
DADS,DASIP
DADS/village community,
DAK,
DALDO,
Danda,DANIDA
DANIAD,DANIDA
Danid,DANIDA
DANIDA,DANIDA
DANIDA CO,DANIDA
DANIDS,DANIDA
Daniel,
DANNIDA,DANIDA
DANNY,
DAR ES SALAAM ROUND TABLE,
Dar es salaam Technician,
DARDO,
DASIP,DASIP
DASP,DASIP
DASSIP,DASIP
DAWASA,DAWASCO
DAWASCO,DAWASCO
DAWE,
DBFPE,
DBSP,
DBSPE,
DCCA,
DCT,
DDCA,
DDCA CO,
DDP,
DDSA,
DE,
DED,
DEE,
DENISH,
Deogra,
DESK a,
Desk and chair foundation,
DESK C,
Deus Ndege,
DEW,
DFID,
DH,
Dhinu,
DHV,
DHV Moro,
Di,
